artist_name,track_name,release_date,genre,lyrics
Brass Roots,Foundation Sound,2000,ska,"Back to brass roots digging deep, Ancestral rhythms that we keep, Foundation sound from days gone by, Lifting spirits to the sky. The Brass Roots connect us to, Traditions tried and true, Jamaican beats from long ago, That helped this music grow. Excavating sonic history, Uncovering the mystery, Of how these sounds came to be, Setting dancing spirits free. The foundation strong and sure, Authenticity so pure, Building blocks of movement laid, Ensuring traditions never fade. Archaeological expedition, Finding rhythmic ammunition, To combat music mass-produced, With genuine sounds introduced. The roots grow deep and spread out wide, Nothing left for us to hide, Connected to something profound, This foundation sound. Generations linked through beat, When young and old together meet, On the dance floor moving as one, Until the evening's done. Brass Roots keep alive the flame, Ensuring nothing stays the same, Except the soul that underlies, These rhythms that we prize."
The Upstarts,Fresh Beginning,1995,ska,"Fresh beginning brand new sound, Revolutionary beats abound, The upstarts bringing change tonight, Fighting darkness with delight. Young blood with fresh ideas flow, Taking ska where it hasn't gone, Breaking rules with conscious thought, Creating sounds that can't be bought. The establishment shakes with fear, As The Upstarts draw near, Challenging norms destroying molds, Stories new replace the old. Fresh beginning means a chance, To lead music in a brand new dance, Evolution through the sound, As new pathways can be found. The uprising starts with beats, Taking rhythm to the streets, Grassroots movement spreading fast, Ensuring these changes last. Youth energizing tired forms, As musical revolution storms, The gates of what we thought we knew, Bringing perspectives fresh and new. The manifesto clearly states, That tradition appreciates, While forging bold new ground, Through this revolutionary sound. The Upstarts stand for progress pure, Creating sounds that will endure, Fresh beginning here today, Leading music a brand new way."
Rude Mechanics,Working Class Skank,2002,ska,"Working class skank with greasy hands, Building beats that understand, The daily grind and how it feels, When the weekend finally heals. Rude Mechanics know the score, Having worked the factory floor, Blue collar rhythm blue collar soul, Dancing makes the person whole. The tools we use to build these sounds, Create foundations solid grounds, For communities to unite, Dancing through the night. Calloused hands and tired feet, Find new energy in the beat, Monday through Friday we persist, Then weekend dances can't be missed. Working class heroes dressed in suits, Polished shoes and porkpie boots, Transformation now complete, As we take control of the street. The labor movement has a sound, When Rude Mechanics come around, Union strong with rhythm proud, Standing out among the crowd. The sweat of honest work remains, As through our music it explains, The dignity in daily toil, That the weekend can't despoil. Clock out Friday night with haste, Not a moment more to waste, The working week behind us now, To the music we all bow."
The Checkerboards,Pattern Play,1989,ska,"Pattern play in black and white, Creating magic in the night, Checkerboard moves that never fail, As rhythm and unity prevail. The Checkerboards demonstrate the way, That opposites together play, Creating something more profound, Than either could alone have found. Alternating colors keep time, With every beat and every rhyme, Visual representation clear, Of the harmony we hold dear. The dance floor seen from up above, Reveals patterns made with love, Bodies moving black and white, Under the club's dim light. Mathematical precision sound, As checkerboard patterns abound, Perfect squares of equal size, Where rhythm truly lies. The game of kings brought to the floor, As dancers ask for more and more, Strategic movements planned with care, Creating moments beyond compare. The pattern spreads throughout the room, Dispelling any sense of gloom, Infectious rhythm catches all, Who answer to its call. When morning comes the pattern fades, Into memory's different shades, But The Checkerboards have shown the way, That unity and rhythm play."
Brass Buttons,Hold It Together,2005,ska,"Brass buttons holding it together, Through all kinds of weather, Fastened tight and looking right, Keeping the groove secure tonight. The uniform of ska complete, As rhythms fill the street, Everything in perfect place, Moving with unstoppable grace. These buttons more than mere décor, They represent something more, The structure that gives freedom space, To move with style and grace. Polished metal catching light, Reflecting movements of the night, Functional yet fashionable too, Representing something true. Brass Buttons understand the need, For structure as we proceed, Through rhythmic explorations deep, Promises we aim to keep. Holding it together when, Chaos threatens once again, These fasteners secure and true, Allow the music to break through. The metaphor extends beyond, The clothing to which we've grown fond, Security in rhythm found, As brass and beat surround. When under pressure buttons pop, And inhibitions finally drop, Revealing what was held inside, With nothing left to hide."
The Uptick,Rising Numbers,1997,ska,"See the uptick in the charts, As ska music fills our hearts, Rising numbers can't deny, This rhythm makes you feel alive. The statistics clearly show, The popularity will grow, Exponential rhythm rise, Taking everyone by surprise. Analysts predict sustained, Growth that can't be contained, As this musical phenomenon, Continues moving on and on. The Uptick brings the data clear, For everyone to see and hear, Market penetration deep, Momentum strong and steep. Rising numbers day by day, As more people find the way, To this infectious dancing beat, Making their lives complete. The graph points toward the sky, As popularity climbs high, Critical mass nearly reached, As further audiences breached. When projections are released, Showing growth has not yet ceased, Investors in the rhythm smile, Knowing it was all worthwhile. The Uptick validates what we, Have known with certainty, This music rises from the heart, And that's the strongest start."
Skank Operators,Manual Override,1993,ska,"Skank operators taking control, Programming rhythms for your soul, Manual override engaged, As dancing fever takes the stage. Technical skill with practiced hands, Meeting all rhythm demands, Controlling systems with precision, Each movement a perfect decision. The machinery of the beat, Generates heat beneath our feet, As operators work the boards, Creating sounds that strike chords. Manual override allows, Creativity that wows, Breaking automated routines, Creating new dancing scenes. Skank Operators understand the way, That technology and heart play, Together creating something more, Than either had alone before. The control room filled with gauges bright, Monitoring rhythms of the night, Adjustments made with careful touch, Never too little never too much. System errors quickly fixed, As tempos skillfully mixed, Creating seamless transitions sound, As dancers move around. The operation runs all night, Everything feeling just right, Thanks to those behind the scenes, Making sure the rhythm means."
Rudimentary Beats,Basic Skank,2001,ska,"Rudimentary beats keep it simple and clean, The basic skank is all we need, Fundamental moves and pristine sound, The essence of ska found. Back to basics stripping away, Complications of the day, Finding power in the pure, Rhythms that will long endure. Elemental forces combined, Creating beats one of a kind, Primordial rhythm calling all, To answer to its primitive call. The building blocks of sound arranged, In patterns tried and never changed, Since the earliest days when, Ska first captivated men. Rudimentary doesn't mean plain, Or lacking in emotional terrain, Sometimes the simplest things provide, The deepest feelings previously denied. The basic skank contains it all, Everything we need to enthrall, The masses with uncomplicated joy, That time can never destroy. When trends and fads have come and gone, This rhythm will continue on, Rudimentary beats survive, Keeping ska traditions alive. The foundation solid and true, Allows creative pathways new, While honoring what came before, Opening previously closed doors."
The Uprisers,Revolution Beat,1998,ska,"Revolution beat rising up, Filling hope in every cup, The uprising starts tonight, Dancing toward the morning light. The Uprisers take the stage, Turning rhythm into rage, Controlled and channeled for the good, Of the entire neighborhood. The manifesto clearly states, That dancing liberates, Bodies minds and spirits too, Creating something fresh and new. Revolution doesn't always need, Violence to succeed, Sometimes rhythm is enough, To help people break through the rough. The uprising grows in strength, Going to any length, To spread the message far and wide, With nothing left to hide. Political statements through the beat, Taking protests to the street, Democracy in dancing found, As revolution sounds around. The old regime cannot withstand, The power of this skanking band, Systems crumble walls fall down, When The Uprisers come to town. Liberty through rhythm attained, As the status quo is strained, Breaking chains that held us back, Through synchronized heart attack. The revolution has begun, And won't be done until we've won, Freedom through this dancehall sound, Revolution all around."
Brass Ensemble,Coordinated Sound,2004,ska,"Coordinated sound precision tight, Brass ensemble shining bright, Every note in perfect place, Rhythmic unity and grace. The orchestra of ska tonight, Performing with all their might, Harmonious arrangement flows, As the dancing fever grows. Brass Ensemble demonstrates the way, That many voices together play, Creating symphony profound, In this coordinated sound. The conductor waves his hands with care, As rhythms fill the air, Leading this precision team, To heights they've never been. Each musician knows their part, Playing from both head and heart, Individual talents combined, Creating something one of a kind. The trumpet soars the trombone glides, The saxophone alongside, Bass and drums keep perfect time, As dancers move in pantomime. Years of practice come to this, Creating moments of pure bliss, When everything aligns just right, Under the concert hall's light. Brass Ensemble takes a bow, Having shown the audience how, Coordination creates art, That speaks directly to the heart."
Skankchronized,Perfect Timing,1990,ska,"Skankchronized with perfect time, Every movement so sublime, Synchronized to every beat, Making rhythm so complete. The dancers move as one tonight, Everything feeling just right, Mechanical precision found, As rhythms fill the ground. The clockwork of our hearts aligned, With beats both rough and refined, The gears engage without a slip, As through the night we skip. Perfect timing never fails, When Skankchronized prevails, Chronometers set to the sound, That keeps us spinning round. The metronome of life keeps pace, As dancers find their space, In perfect synchronicity, Moving with electricity. Time signature dictates the flow, As bodies come and go, Across the floor in patterns planned, Or spontaneously unplanned. The paradox of measured chaos, Is what the band displays, Precision that allows for flight, Throughout this wild night. The chronograph records the time, That dancers spend in rhythmic rhyme, Perfect memories that last, Long after the night has passed."
The Rude Agenda,Day Planner,1996,ska,"The rude agenda for today, Is dance and skank and play, Scheduled fun around the clock, As the horns begin to talk. The day planner filled with beats, As rhythm fills the streets, Appointments made for dancing joy, That nothing can destroy. The Rude Agenda understands time, Is precious in its design, So every moment must be used, For rhythms enthusiastically infused. The itinerary clearly states, That no one longer waits, For permission to feel free, Through skanking energy. Priority tasks involve motion, Total physical devotion, To the beat that never fails, When the trumpet wails. The calendar marked with events, Where dancing implements, The strategy for pure elation, Through rhythmic celebration. Business meetings on the floor, As executives explore, How rhythm improves the bottom line, Making everything feel fine. The Rude Agenda's daily plan, Helps everyone who can, Find time for what truly matters, When the rest of life just shatters. When the day comes to end, New schedules to attend, Tomorrow's agenda already set, With rhythms we won't forget."
Checkerboard Champions,Victory Skank,2003,ska,"Checkerboard champions take the prize, As victory sounds fill the skies, Triumphant horns announce our win, Let the celebration begin. The trophy raised with pride tonight, Everything feeling just right, Champions of the skanking world, With victory flags unfurled. The competition never stood chance, Against our rhythmic dance, Superior in every way, From the moment horns did play. Checkerboard Champions stand tall, Having answered victory's call, The winners circle feels like home, As through the crowd we roam. The victory skank begins right now, Taking center stage to show them how, Champions move with special grace, Always setting the perfect pace. The medal round our necks displayed, For the music that we played, Recognition of our rhythmic skill, That always gives a special thrill. Opponents gracious in defeat, Acknowledge that they can't compete, With sound so perfectly refined, Championship one of a kind. The history books record this day, When Checkerboard Champions led the way, To rhythmic heights previously unknown, Setting standards newly shown."
The Upmarket,Premium Beats,1991,ska,"Upmarket sounds of premium grade, The finest rhythms ever made, Quality ska at any price, Makes everything feel nice. Luxury beats for discerning ears, Vintage sounds from bygone years, Expertly crafted with special care, Creating moments beyond compare. The Upmarket offers exclusive sound, Not commonly found around, Investment pieces that will last, Long after trends have passed. Premium quality comes at cost, But nothing valuable is lost, When rhythm reaches this high plane, Never to be the same. Designer labels matter less, Than the feeling we possess, When dancing to these elite beats, As everyone in the club meets. The upscale venue dressed to impress, As dancers arrive in their best, Ready for premium experience, That justifies every expense. The Upmarket cultivates taste, Not a single note laid waste, Curated sounds that elevate, The soul to a higher state. When others settle for the mass-produced, The Upmarket has introduced, Bespoke rhythms tailor-made, Quality that will never fade."
Brass Ceiling,Breaking Through,1999,ska,"Breaking through the brass ceiling tonight, Showing them our skanking might, No limit to how high we'll climb, One beat one rhythm at a time. The obstacles that blocked our way, Fall as trumpets start to play, Glass ceilings cannot withstand, The power of this skanking band. Brass Ceiling knows the struggle well, Having stories they could tell, Of being held back for too long, Until they wrote this breaking song. The barriers begin to crack, As horns launch their attack, Shattering limitations placed, By those who never faced. The challenge of rising above, Through nothing but rhythm and love, Breaking systems that constrain, The music in our veins. Promotion through persistent sound, As new pathways can be found, For voices previously suppressed, Now powerfully expressed. The hierarchy starts to shake, As these new sounds awake, The audience to possibilities, Beyond what anyone sees. When the ceiling finally breaks, And the entire structure shakes, Freedom found in falling brass, As into new realms we pass."
Rude Interruption,Pardon Me,2002,ska,"Rude interruption pardon me, But this is something you must see, The rhythm's calling loud and clear, The time for skanking now is here. Excuse the sudden interjection, This requires your attention, The beat cannot wait any more, It's knocking down your door. Forgive us for disturbing you, But this message must get through, The horns are playing your sweet name, Nothing will be the same. Rude Interruption breaks the norm, As musical winds begin to storm, Disrupting patterns of the day, With rhythms that won't delay. The conversation must give way, To what these dancing feet must say, Priorities rearranged with haste, Not a moment more to waste. Pardon me for stepping in, But it would surely be a sin, To let you miss this perfect beat, That makes life feel complete. The interruption justified, With nothing left for us to hide, When rhythm calls with urgent voice, There really is no choice. So pardon me for breaking through, But this message is for you, The dance floor beckons loud and strong, So join us move along."
The Upbeats,Positive Skank,1994,ska,"Positive skank with hopeful sound, Spreading good vibes all around, Upbeat message in every note, Keeping the spirit light and afloat. Optimism through the beat, Making every day feel sweet, The Upbeats bring their sunshine bright, Chasing shadows into light. When others focus on the dark, The Upbeats make a positive mark, Showing that joy can still be found, When rhythms properly surround. The glass always half full for those, Who let this beat get close, Transforming outlook day by day, As horns begin to play. Positive energy fills the space, As dancers find their place, In this uplifting atmosphere, Where troubles disappear. The power of positive sound, Cannot be overly renowned, Healing properties in each beat, Making recovery complete. The medicine of rhythm pure, For ailments that endure, Beyond what doctors understand, The healing is at hand. So let The Upbeats lift your mood, With rhythms carefully brewed, To maximize your happiness, And minimize distress."
Skank Sinatra,Classy Moves,2006,ska,"Classy moves with style and grace, Setting the perfect pace, Like Sinatra smooth and cool, Breaking every skanking rule"
Brass Polish,Shine It Up,1988,ska,"Brass polish makes it shine so bright, Gleaming through the darkest night, Clean and clear these horns will play, Chasing all your blues away"
The Uptempo Crew,Speed Skanking,2000,ska,"Speed skanking at a frantic pace, Winning this rhythmic race, Faster moves than ever before, Always leaving you wanting more"
Checkered Flag,Victory Lap,1997,ska,"Checkered flag waves in the night, Victory lap feeling right, The race is won the sound is pure, This rhythm will endure"
Rude Behavior,Social Skills,1992,ska,"Rude behavior breaking norms, As the ska storm forms, Social skills thrown to the wind, Let the real dance begin"
The Upward Spiral,Rising Higher,2003,ska,"Upward spiral never ends, As the rhythm upward trends, Rising higher than before, Always reaching for more"
Brass Fundamentals,Basic Elements,1995,ska,"Brass fundamentals form the core, Of the sound we all adore, Basic elements combined, Creating rhythms one of a kind"
Skank Protocol,Proper Form,1999,ska,"Skank protocol must be observed, Proper form must be preserved, Follow steps with careful pride, Let the rhythm be your guide"
The Rudeologists,Study of Ska,2001,ska,"Rudeologists study with care, The history that brought us here, Academic skanking sound, New discoveries to be found"
Checkered History,Black And White Past,1989,ska,"Checkered history in black and white, Stories of rhythm day and night, The past is patterned like the floor, On which we dance forevermore"
The Uprising,Stand Together,2005,ska,"The uprising starts with a beat, Uniting people in the street, Stand together skank as one, Until our work is done"
Brass Ring,Reach For It,1996,ska,"Reach for the brass ring spinning round, Grab hold of this precious sound, Achievement waits for those who try, Skanking toward the prize"
Rudimentary Peni,First Steps,1993,ska,"First steps into the world of ska, Learning how to go far, Rudimentary moves to start, Building rhythm in your heart"
The Upscale,Fancy Footwork,2000,ska,"Upscale moves with fancy feet, Dancing down the finest street, Sophisticated skank tonight, Everything is feeling right"
Skank Exchange,Trading Beats,1998,ska,"Trading beats at the skank exchange, A marketplace of rhythms strange, Value rising with each trade, Investment in the sounds we've made"
Brass Monkey,Cold Night,2002,ska,"On this cold night we warm our souls, With brass sounds from the monkey bowl, Freezing outside but hot within, Let the skanking now begin"
The Rude Guests,Overstaying,1990,ska,"The rude guests are here to stay, Not leaving till the break of day, Overstaying our welcome true, Bringing ska rhythms just for you"
Checkerboard Riot,Pattern Chaos,2004,ska,"Checkerboard riot breaking loose, Pattern chaos is now produced, Order and mayhem hand in hand, As ska sweeps across the land"
The Upturn,Better Days,1991,ska,"The upturn brings better days ahead, As the rhythm fills with hope instead, Of the darkness that came before, Skanking toward an open door"
Brass Tax Season,Pay The Beat,1997,ska,"Brass tax season comes each year, Time to pay the beat my dear, Revenue of rhythm sound, Being collected all around"
Skank Accountants,Adding It Up,2001,ska,"Skank accountants adding it up, Rhythm assets filling our cup, Balance sheets of pure delight, The numbers dance into the night"
The Rudemary,Herbal Skank,1994,ska,"Herbal skank with spicy beat, Making movements extra sweet, Seasoned sounds for your delight, Flavorful rhythm feels just right"
Uptown Special,City Lights,1999,ska,"Uptown special under city lights, Urban ska through starry nights, Metropolitan rhythm and beat, Dancing down the concrete street"
Brass Standards,Quality Control,2003,ska,"Brass standards require the best, Quality control is our test, Meeting benchmarks set so high, On these rhythms we rely"
The Checkmates,Strategic Dance,1988,ska,"Strategic dance like a chess game, Movement with a specific aim, Checkmates planned in advance, Winning through this skanking dance"
Rude Health,Feeling Fine,1995,ska,"Rude health and feeling fine, Dancing down the thin white line, Physical motion keeping fit, As these ska beats perfectly hit"
The Upside,Positive Charge,2002,ska,"Looking at the upside with positive charge, Horizons growing wide and large, Optimistic skank tonight, Future's looking bright"
Skanking Sailors,Seven Seas,1992,ska,"Skanking sailors roam the seven seas, Dancing with the ocean breeze, Nautical rhythms guide our way, As we skank through night and day"
Brass Monkeys,Arctic Skank,1998,ska,"Arctic skank with frozen beat, Moving fast to generate heat, Brass monkeys playing through the cold, Warming spirits young and old"
The Rudiments,Basic Training,2004,ska,"Rudiments taught with basic training, Fundamental beats explaining, Learn the steps to skank just right, Practice makes perfect tonight"
Checkered Cabs,City Ride,1990,ska,"Checkered cabs provide the ride, Through city streets both far and wide, Transportation with a beat, Taking rhythm to the street"
The Uptake,Quick Learning,1996,ska,"Quick learning with immediate uptake, These rhythms are easy to make, Understanding ska with ease, Moving naturally as you please"
Brass Rubbing,Impression Beat,2001,ska,"Brass rubbing makes an impression true, Transferring rhythms straight to you, Ancient patterns brought to life, Cutting through daily strife"
Skanking Monks,Sacred Rhythm,1993,ska,"Sacred rhythm from skanking monks, Spiritual sounds in holy funk, Devotion through movement found, Creating consecrated sound"
The Rude Scholars,Academia,1999,ska,"Rude scholars from academia, Creating rhythmic encyclopedia, Knowledge through the power of skank, For this education we give thanks"
Brass Masterclass,Expert Level,2005,ska,"Brass masterclass at expert level, Taking ska beyond the devil, Advanced techniques of highest form, Setting a new performance norm"
The Upcomers,New Generation,1991,ska,"New generation with fresh perspective, Upcomers with objectives, Taking ska to places new, Showing what these beats can do"
Checkerboard Kids,Young Skankers,1997,ska,"Checkerboard kids with youthful bounce, Energy they cannot renounce, Young skankers with passion pure, Creating sounds that will endure"
Rude Discoveries,Finding Rhythm,2000,ska,"Rude discoveries of rhythm and beat, Finding treasures so complete, Exploration of the ska terrain, Never to be the same again"
The Upholders,Tradition Keepers,1994,ska,"Upholders of tradition stand true, Keepers of the ska they knew, Preserving beats from yesterday, Ensuring classic styles will stay"
Brass Horizons,New Frontiers,2002,ska,"Brass horizons stretching far, Under every distant star, New frontiers of sound await, As these rhythms we create"
Skank Crusaders,Rhythm Quest,1988,ska,"Skank crusaders on a rhythm quest, Putting ska to the ultimate test, Mission to spread this sound worldwide, With every step and every stride"
The Rudentary,Elementary Beat,1995,ska,"Elementary beat so pure and clean, The rudentary makes it seem, So simple yet complex inside, Basic rhythms amplified"
Checkered Vision,Pattern Sight,2003,ska,"Checkered vision sees patterns clear, Black and white both far and near, Sight aligned with rhythm true, Perspective old and new"
The Updraft,Rising Heat,1989,ska,"Rising heat creates updraft, Lifting spirits with ska craft, Thermal currents take us high, Dancing upward to the sky"
Brass Polish,Shine The Sound,2000,ska,"Polish makes the brass so bright, Shining sound through darkest night, Cleaning up our rhythmic act, Making sure our beats exact"
Rude Operators,Running Things,1996,ska,"Rude operators running things tonight, Making sure the sound's just right, Technical skill with rhythmic touch, Giving fans what they love so much"
The Upward Graph,Success Curve,2004,ska,"Upward graph shows success curve, Popularity we truly deserve, Statistics rising with each beat, Making our success complete"
Skanking Doctors,Rhythm Cure,1992,ska,"Skanking doctors with rhythm cure, Making sure your health is pure, Prescribing beats for what ails you, Ska therapy through and through"
Brass Ensemble,Symphony Skank,1998,ska,"Symphony skank orchestrated with care, Harmony filling the air, Ensemble playing as one tight crew, Classical ska both old and new"
The Rudimentals,Foundation Work,2001,ska,"Foundation work must be done right, Building rhythm day and night, Rudimentals strong and true, Creating sounds both old and new"
Checkered Floors,Dance Surface,1993,ska,"Checkered floors provide the ground, Where the best moves can be found, Surface perfect for the dance, Giving skankers their best chance"
The Uppercase,Capital Beats,1997,ska,"Uppercase letters shout it loud, Capital beats make us proud, Emphasizing every sound, As rhythm messages abound"
Brass Essentials,Must-Have Beat,2006,ska,"Brass essentials you must have, Creating rhythm oh so fab, Necessities for the ska soul, Required to make you whole"
Rude Language,Speaking Rhythm,1990,ska,"Rude language speaks in rhythm code, Following the skanker's mode, Communication through the beat, Making conversation sweet"
The Upheaval,Change The Beat,1995,ska,"Upheaval changing how we move, Finding new paths in the groove, Revolution in the skank, Breaking boundaries rank by rank"
Skanking Lawyers,Legal Moves,1999,ska,"Skanking lawyers make their case, With rhythm style and grace, Legal moves beyond debate, These beats we must appreciate"
Brass Contacts,Network Beat,2002,ska,"Brass contacts connect us all, Answering the rhythm call, Network beat links everyone, United till the day is done"
The Rudeniks,Village Skank,1988,ska,"Village skank from the rudeniks, Simple pleasures simple tricks, Community through rhythm found, As rural beats go round and round"
Checkered Future,Tomorrow's Sound,1994,ska,"Checkered future unclear yet bright, Patterns changing day and night, Tomorrow's sound evolving still, Rhythmic promise to fulfill"
The Uppers,Mood Elevation,2000,ska,"Mood elevation through rhythm and beat, Making your happiness complete, Uppers taking spirits high, Dancing upward to the sky"
Brass Parliament,Rhythm Law,1996,ska,"Brass parliament making rhythm law, Perfect beats without a flaw, Legislation for the soul, Movement under full control"
Rude Boy School,Education Beat,2003,ska,"Rude boy school teaching the way, How to skank both night and day, Education beat with lessons true, Everything a skanker should do"
The Upstroke,Rising Motion,1991,ska,"Upstroke movement rising high, Reaching toward the endless sky, Motion flowing smooth and clean, Energy like you've never seen"
Skanking Chefs,Recipe Rhythm,1998,ska,"Skanking chefs with recipe right, Cooking beats both day and night, Flavor rhythms taste so good, Dancing just the way you should"
